"Time, hr",Compound A,Compound B,Compound C,Compound D,Compound E,Compound F,Compound G,Compound H,Compound I
0.01,0.329029353,-1.164475838,0.4137286,0.629433915,-0.138015482,-0.032096769,-0.494822943,2.60401184,-1.808944329
0.11,0.417195093,-1.598076084,0.413728605,0.629433922,-0.150648508,-0.05996782,-0.799912087,2.60401184,-1.808944329
0.21,0.48255518,-1.685961918,0.413728609,0.629433929,-0.161198165,-0.075380635,-0.83001531,2.60401184,-1.808944329
0.31,0.466615627,-1.707681929,0.413728614,0.629433936,-0.161002556,-0.083061609,-0.835500823,2.60401184,-1.808944329
0.41,0.42832867,-1.712943859,0.413728618,0.629433943,-0.144111539,-0.086300803,-0.833786023,2.60401184,-1.808944329
0.51,0.402280652,-1.713836437,0.413728623,0.629433949,-0.131887204,-0.087241715,-0.830815296,2.60401184,-1.808944329
0.61,0.393801181,-1.714480276,0.413728627,0.629433956,-0.137297158,-0.087464825,-0.830363953,2.60401184,-1.808944329
0.71,0.390888331,-1.714543728,0.413728632,0.629433963,-0.143059097,-0.087637062,-0.830933089,2.60401184,-1.808944329
0.81,0.386063235,-1.71460718,0.413728636,0.62943397,-0.147209913,-0.08783666,-0.831578666,2.60401184,-1.808944329
0.91,0.37921986,-1.714670631,0.413728641,0.629433977,-0.150346119,-0.088019522,-0.832077274,2.60401184,-1.808944329
1.01,0.372467974,-1.714734083,0.413728645,0.629433984,-0.152987409,-0.088154571,-0.832385354,2.60401184,-1.808944329
1.11,0.367165542,-1.714797534,0.41372865,0.62943399,-0.155259669,-0.088226363,-0.832513559,2.60401184,-1.808944329
1.21,0.363418461,-1.714860986,0.413728654,0.629433997,-0.157164633,-0.088241266,-0.832511889,2.60401184,-1.808944329
1.31,0.360719512,-1.714924437,0.413728659,0.629434004,-0.158663546,-0.088220074,-0.83247296,2.60401184,-1.808944329
1.41,0.358566056,-1.714987889,0.413728663,0.629434011,-0.159811847,-0.088174554,-0.832408291,2.60401184,-1.808944329
1.51,0.356734933,-1.715032379,0.413728668,0.629434018,-0.160661824,-0.088111685,-0.832327468,2.60401184,-1.808944329
1.61,0.355211846,-1.715032625,0.413728672,0.629434025,-0.161327055,-0.08803166,-0.832231602,2.60401184,-1.808944329
1.71,0.354032927,-1.715032871,0.413728677,0.629434031,-0.161870615,-0.087934768,-0.832109609,2.60401184,-1.808944329
